District_name,Transaction_count,Transaction_amount,Quater,Year,State
rajkot,472933,879868564.9668198,4,2018,gujarat
valsad,468363,753128666.5596428,4,2018,gujarat
ahmadabad,7894660,10956007756.562977,1,2019,gujarat
surat,3283182,5664609103.880556,1,2019,gujarat
vadodara,1655864,2706612327.076613,1,2019,gujarat
gandhinagar,1244457,1559852035.3782334,1,2019,gujarat
navsari,1112006,1853217634.4572105,1,2019,gujarat
bharuch,926374,1330716993.7382002,1,2019,gujarat
mahesana,899763,1021313511.4526355,1,2019,gujarat
kachchh,895127,1364193288.246049,1,2019,gujarat
banas kantha,805139,1054321489.3685756,1,2019,gujarat
valsad,750124,983591069.6663814,1,2019,gujarat
ahmadabad,11689965,19024891336.636116,2,2019,gujarat
navsari,3136644,5394071895.487188,2,2019,gujarat
surat,3047988,6016899815.178611,2,2019,gujarat
vadodara,1717964,3251133813.8582134,2,2019,gujarat
gandhinagar,1205404,1791763499.6818066,2,2019,gujarat
bharuch,747899,1317325972.015126,2,2019,gujarat
rajkot,724751,1400871094.6495595,2,2019,gujarat
mahesana,715052,1095164063.6523905,2,2019,gujarat
kachchh,688449,1389719506.4029193,2,2019,gujarat
banas kantha,642084,1108185173.7200396,2,2019,gujarat
ahmadabad,14605589,23081622347.556786,3,2019,gujarat
surat,4447301,7371726681.306206,3,2019,gujarat
navsari,3007618,5936350631.711407,3,2019,gujarat
vadodara,2407408,3950547763.5697803,3,2019,gujarat
gandhinagar,1850642,2359920414.1180134,3,2019,gujarat
bharuch,1040617,1624510953.9967768,3,2019,gujarat
rajkot,1022919,1587889777.799852,3,2019,gujarat
mahesana,1012086,1334187013.0348892,3,2019,gujarat
anand,955946,948614191.2624346,3,2019,gujarat
banas kantha,909575,1343558301.6357625,3,2019,gujarat
ahmadabad,15696056,29657904578.49414,4,2019,gujarat
surat,4988183,9432189653.21497,4,2019,gujarat
navsari,2986534,6831783124.753632,4,2019,gujarat
vadodara,2908059,5087285259.821402,4,2019,gujarat
gandhinagar,2081714,2917516449.8289948,4,2019,gujarat
bharuch,1324720,2217755667.5707374,4,2019,gujarat
mahesana,1166283,1805374816.0740204,4,2019,gujarat
rajkot,1134928,2127782298.9078345,4,2019,gujarat
banas kantha,1087381,1918665318.491047,4,2019,gujarat
valsad,1028011,1666399666.233092,4,2019,gujarat
ahmadabad,17950876,35559467147.63747,1,2020,gujarat
surat,6801887,13770083573.568459,1,2020,gujarat
vadodara,3398524,5791008308.342354,1,2020,gujarat
gandhinagar,2337267,3378567424.980505,1,2020,gujarat
bharuch,1525995,2487359207.9748526,1,2020,gujarat
banas kantha,1429235,2718891067.533261,1,2020,gujarat
valsad,1342508,2197272850.2289653,1,2020,gujarat
rajkot,1339770,2664972202.0377035,1,2020,gujarat
kachchh,1305996,2617080218.9794,1,2020,gujarat
mahesana,1294012,2067093335.3061204,1,2020,gujarat
ahmadabad,16430916,32731896547.15033,2,2020,gujarat
surat,5654552,9378177062.809792,2,2020,gujarat
vadodara,2796615,4621695376.570125,2,2020,gujarat
gandhinagar,2039285,2913004123.5804567,2,2020,gujarat
banas kantha,1860625,3107051803.5377526,2,2020,gujarat
bharuch,1673375,2438983130.59495,2,2020,gujarat
mahesana,1592579,2300168470.716814,2,2020,gujarat
valsad,1498222,2040840946.3210487,2,2020,gujarat
kachchh,1428844,2663558233.321313,2,2020,gujarat
rajkot,1360781,2344811087.112481,2,2020,gujarat
ahmadabad,21769867,43364229618.72334,3,2020,gujarat
surat,7272097,14667802723.39091,3,2020,gujarat
vadodara,4247473,7377577452.2292185,3,2020,gujarat
gandhinagar,2828558,4509986129.973013,3,2020,gujarat
bharuch,2145954,3492190237.8492527,3,2020,gujarat
banas kantha,2102221,4347810483.865207,3,2020,gujarat
mahesana,1898909,3469191791.4686623,3,2020,gujarat
kachchh,1762816,3715321888.0775957,3,2020,gujarat
valsad,1743270,2801506603.415721,3,2020,gujarat
rajkot,1490309,2995153084.6346493,3,2020,gujarat
ahmadabad,25926518,50995692377.18628,4,2020,gujarat
surat,10950779,22483338828.296673,4,2020,gujarat
vadodara,6066452,10175864216.096031,4,2020,gujarat
gandhinagar,3802536,6260558379.008725,4,2020,gujarat
bharuch,3243841,5265465828.675046,4,2020,gujarat
banas kantha,2687464,5676878891.729177,4,2020,gujarat
valsad,2565319,4183435576.3542786,4,2020,gujarat
mahesana,2473227,4748375062.213287,4,2020,gujarat
kachchh,2405892,5163742799.021423,4,2020,gujarat
rajkot,1980653,4184580562.7370853,4,2020,gujarat
ahmadabad,36857358,68688129153.5751,1,2021,gujarat
surat,13429789,28261722802.55279,1,2021,gujarat
vadodara,7191021,11925964623.063154,1,2021,gujarat
gandhinagar,4275528,7290530767.260056,1,2021,gujarat
bharuch,3420929,5756013890.9055805,1,2021,gujarat
banas kantha,2927080,6883945517.865921,1,2021,gujarat
valsad,2745663,4775335083.735587,1,2021,gujarat
kachchh,2664604,6036765372.934219,1,2021,gujarat
mahesana,2587041,5454846785.509393,1,2021,gujarat
rajkot,2278417,5057583315.413301,1,2021,gujarat
ahmadabad,44173046,79437951666.15146,2,2021,gujarat
surat,15230233,30756115155.739147,2,2021,gujarat
vadodara,7847805,12902554421.6506,2,2021,gujarat
gandhinagar,4552010,7835004938.194845,2,2021,gujarat
bharuch,3937665,6464930552.559841,2,2021,gujarat
banas kantha,3648428,8286069195.93278,2,2021,gujarat
kachchh,3268191,7040086478.344804,2,2021,gujarat
valsad,3236626,5434041159.757242,2,2021,gujarat
mahesana,3118685,6292779692.204142,2,2021,gujarat
rajkot,2675842,5707346831.237131,2,2021,gujarat
ahmadabad,58611265,101760598132.07089,3,2021,gujarat
surat,21214459,40838608900.13972,3,2021,gujarat
vadodara,10555446,16336422910.897556,3,2021,gujarat
gandhinagar,6318239,10546315790.961113,3,2021,gujarat
bharuch,5280607,8322570348.519125,3,2021,gujarat
banas kantha,4877149,11302732744.859072,3,2021,gujarat
valsad,4434194,7173200940.388832,3,2021,gujarat
kachchh,4378602,9001941152.864368,3,2021,gujarat
mahesana,4085272,8371811502.228019,3,2021,gujarat
rajkot,3586356,7726777654.637351,3,2021,gujarat
ahmadabad,70075885,124559345468.31935,4,2021,gujarat
surat,26358525,51244301661.33562,4,2021,gujarat
vadodara,12675332,20051547592.844345,4,2021,gujarat
gandhinagar,7658806,13063535935.91779,4,2021,gujarat
bharuch,6671068,10647007113.465914,4,2021,gujarat
banas kantha,6396725,14662295530.137415,4,2021,gujarat
valsad,5798487,9554286592.777279,4,2021,gujarat
kachchh,5470337,11281039516.167408,4,2021,gujarat
mahesana,5022604,10719744656.891113,4,2021,gujarat
rajkot,4398724,9808446763.924477,4,2021,gujarat
ahmadabad,79952986,140746136456.2987,1,2022,gujarat
surat,31199368,60384509134.17688,1,2022,gujarat
vadodara,14343830,22232541228.698696,1,2022,gujarat
gandhinagar,8605006,14673670632.364445,1,2022,gujarat
banas kantha,7973644,18279879154.011223,1,2022,gujarat
bharuch,7704075,12142511077.777298,1,2022,gujarat
valsad,6673719,11065186874.369564,1,2022,gujarat
kachchh,6493295,13234467234.409914,1,2022,gujarat
mahesana,5772191,12148997855.25247,1,2022,gujarat
rajkot,5044420,11183107357.249798,1,2022,gujarat
ahmadabad,96453555,161506106645.9494,2,2022,gujarat
surat,37371820,68525386888.440254,2,2022,gujarat
vadodara,16566055,24927078678.274376,2,2022,gujarat
gandhinagar,10158506,16650584409.353096,2,2022,gujarat
banas kantha,9732655,20605533611.378273,2,2022,gujarat
bharuch,8898927,13524403306.877403,2,2022,gujarat
valsad,8033358,12554813235.049372,2,2022,gujarat
kachchh,7934471,15334005512.230762,2,2022,gujarat
mahesana,6831581,13686497405.843655,2,2022,gujarat
rajkot,6063252,12629937169.82262,2,2022,gujarat
ahmadabad,117574996,184255244712.72235,3,2022,gujarat
surat,46500453,78304481289.11215,3,2022,gujarat
vadodara,23318716,32733106034.5252,3,2022,gujarat
bharuch,11270803,15949022077.719543,3,2022,gujarat
banas kantha,11035119,22401495021.82648,3,2022,gujarat
gandhinagar,10879868,17098915693.488312,3,2022,gujarat
valsad,9633288,13905599408.86188,3,2022,gujarat
kachchh,9375781,16533683640.30562,3,2022,gujarat
rajkot,8053297,15206611341.200827,3,2022,gujarat
mahesana,6403784,12429803356.66823,3,2022,gujarat
ahmadabad,133174553,212037117715.34888,4,2022,gujarat
surat,52037142,85923991746.92255,4,2022,gujarat
vadodara,20968443,30304178848.49663,4,2022,gujarat
bharuch,15879527,22486941029.828552,4,2022,gujarat
banas kantha,12352158,25179922289.863693,4,2022,gujarat
gandhinagar,12010565,19015449813.738018,4,2022,gujarat
valsad,11103340,15842261457.57137,4,2022,gujarat
kachchh,9617702,17113433243.309341,4,2022,gujarat
rajkot,9260831,17834314868.93695,4,2022,gujarat
mahesana,7160396,14173625244.242262,4,2022,gujarat
gurugram,1408070,2317083393.896097,1,2018,haryana
faridabad,521939,772738359.1903924,1,2018,haryana
hisar,240517,355732765.75367296,1,2018,haryana
rewari,199418,280095218.8487885,1,2018,haryana
panipat,183960,263054774.74491566,1,2018,haryana
sonipat,178766,279804665.74758285,1,2018,haryana
karnal,169313,247718779.0667546,1,2018,haryana
sirsa,164867,164313975.8712107,1,2018,haryana
bhiwani,125150,190361119.40027064,1,2018,haryana
rohtak,121728,215207976.23801103,1,2018,haryana
gurugram,1893511,3604758914.7352195,2,2018,haryana
faridabad,698865,1211325239.4669201,2,2018,haryana
hisar,320500,627894549.2713584,2,2018,haryana
panipat,265754,440169913.37038267,2,2018,haryana
rewari,263194,453157049.1288283,2,2018,haryana
sonipat,253130,475518495.4836759,2,2018,haryana
sirsa,234948,288080253.195745,2,2018,haryana
karnal,224254,430353501.61753666,2,2018,haryana
ambala,180500,352994750.8908926,2,2018,haryana
rohtak,179677,372787270.2835766,2,2018,haryana
gurugram,2877059,5115393851.988528,3,2018,haryana
faridabad,1058983,1722572594.332482,3,2018,haryana
hisar,390428,961080725.8344724,3,2018,haryana
rewari,350599,643047741.7898456,3,2018,haryana
panipat,331409,660571357.2553346,3,2018,haryana
sonipat,315829,689899150.946893,3,2018,haryana
karnal,282956,594890203.9680781,3,2018,haryana
rohtak,242013,568546327.48272,3,2018,haryana
ambala,233248,522223540.2280037,3,2018,haryana
sirsa,222321,409263123.8749541,3,2018,haryana
gurugram,4651606,7834266744.800946,4,2018,haryana
faridabad,2271109,2832603200.576729,4,2018,haryana
rewari,535609,1038332553.8976262,4,2018,haryana
hisar,511206,1476103125.5799584,4,2018,haryana
sonipat,428989,1037340218.1738504,4,2018,haryana
panipat,427930,960831966.9902785,4,2018,haryana
palwal,383775,672481291.542182,4,2018,haryana
karnal,356327,883621789.490683,4,2018,haryana
jhajjar,319972,741571573.9301258,4,2018,haryana
ambala,313017,778868451.264339,4,2018,haryana
gurugram,8723777,10558099866.889874,1,2019,haryana
faridabad,4020631,4128377201.4363856,1,2019,haryana
rewari,992599,1395914440.321243,1,2019,haryana
palwal,719323,1032542809.3600862,1,2019,haryana
hisar,703750,1656524675.5728457,1,2019,haryana
sonipat,699422,1419939621.3328834,1,2019,haryana
panipat,685081,1414874465.0357556,1,2019,haryana
karnal,589011,1295083691.156188,1,2019,haryana
rohtak,575222,1345411743.258372,1,2019,haryana
jhajjar,548076,1042049466.2823191,1,2019,haryana
gurugram,8386864,11575310786.46454,2,2019,haryana
faridabad,3523377,4505940224.123979,2,2019,haryana
rohtak,1096201,2813329870.614499,2,2019,haryana
panipat,1019615,2473242371.019817,2,2019,haryana
rewari,889511,1639474281.2498112,2,2019,haryana
sonipat,888795,2100408323.2797818,2,2019,haryana
karnal,814251,2062725761.781968,2,2019,haryana
hisar,761001,2054472611.492754,2,2019,haryana
palwal,741633,1293085677.97656,2,2019,haryana
jhajjar,569289,1308026488.612537,2,2019,haryana
gurugram,11843666,15022524504.76374,3,2019,haryana
faridabad,4701377,5869168552.228926,3,2019,haryana
rewari,1206241,2010833861.5122523,3,2019,haryana
rohtak,1158516,3225248552.778762,3,2019,haryana
panipat,1155825,2901827842.8905134,3,2019,haryana
sonipat,1066029,2495689739.736125,3,2019,haryana
palwal,1061268,1687988450.1171806,3,2019,haryana
hisar,1055411,2558826214.5634766,3,2019,haryana
karnal,991286,2467996778.7886715,3,2019,haryana
jhajjar,755297,1642655006.4215214,3,2019,haryana
gurugram,14935865,19000424238.11497,4,2019,haryana
faridabad,5358174,7782346423.807224,4,2019,haryana
rewari,1538398,2831585559.7951837,4,2019,haryana
panipat,1437677,3870819294.7898273,4,2019,haryana
rohtak,1428337,4158625641.7923813,4,2019,haryana
sonipat,1368457,3347168252.768132,4,2019,haryana
hisar,1309901,3351369912.8069725,4,2019,haryana
karnal,1280457,3322975421.6792216,4,2019,haryana
palwal,1273274,2370503274.3677926,4,2019,haryana
jhajjar,965474,2147473030.3808532,4,2019,haryana
gurugram,16484737,21152356889.052498,1,2020,haryana
faridabad,5840117,8881105700.091959,1,2020,haryana
sonipat,2016893,5091258326.483329,1,2020,haryana
rohtak,1803076,5175066327.070365,1,2020,haryana
panipat,1781967,4661669007.4263115,1,2020,haryana
rewari,1747564,3142595798.4513865,1,2020,haryana
palwal,1613263,3109146806.57809,1,2020,haryana
karnal,1579733,4003478768.7248425,1,2020,haryana
hisar,1533724,3820470010.45599,1,2020,haryana
mewat,1241283,3154872672.0695767,1,2020,haryana
gurugram,11284856,14426170120.903454,2,2020,haryana
faridabad,5775792,8177450074.37961,2,2020,haryana
palwal,2090627,3788124543.124005,2,2020,haryana
sonipat,2067865,5016220638.103822,2,2020,haryana
rohtak,2050920,5946541938.965281,2,2020,haryana
rewari,2022132,3582603328.500936,2,2020,haryana
panipat,2011582,5207544726.945988,2,2020,haryana
hisar,1644838,4146210408.44509,2,2020,haryana
karnal,1629574,4045109843.2026005,2,2020,haryana
mewat,1598705,3658746771.705061,2,2020,haryana
gurugram,18098421,23437360421.86216,3,2020,haryana
faridabad,8700173,13490214442.585878,3,2020,haryana
rewari,3041169,5346067429.247877,3,2020,haryana
sonipat,2922945,7024743099.006162,3,2020,haryana
palwal,2672871,4869775358.80177,3,2020,haryana
panipat,2334545,5809998640.786768,3,2020,haryana
hisar,2209518,5761605477.767698,3,2020,haryana
mewat,2107221,5099537212.926384,3,2020,haryana
karnal,1955755,4578348863.2612,3,2020,haryana
rohtak,1740356,4643691557.73987,3,2020,haryana
gurugram,28192581,35629614077.0103,4,2020,haryana
faridabad,12149079,19603646063.147858,4,2020,haryana
rewari,4329508,8169865745.127572,4,2020,haryana
sonipat,3721622,9010603701.96087,4,2020,haryana
palwal,3692902,7333424919.06859,4,2020,haryana
hisar,3190398,8738948858.681065,4,2020,haryana
panipat,3059943,7874714735.936348,4,2020,haryana
mewat,2948645,7484819524.783331,4,2020,haryana
karnal,2527301,6152410695.701475,4,2020,haryana
jhajjar,2429140,5544973431.463554,4,2020,haryana
gurugram,31719830,39350276708.73313,1,2021,haryana
faridabad,12970900,21241648453.917847,1,2021,haryana
rewari,4385531,8303713646.79833,1,2021,haryana
sonipat,4353956,9992974986.499811,1,2021,haryana
palwal,3641453,7214450169.004797,1,2021,haryana
hisar,3294765,8859730937.006823,1,2021,haryana
panipat,3288095,7866864997.406405,1,2021,haryana
mewat,3236320,8671355565.335659,1,2021,haryana
karnal,2822406,6379825746.570849,1,2021,haryana
rohtak,2708295,6792159646.748035,1,2021,haryana
gurugram,32311326,39938868048.39105,2,2021,haryana
faridabad,14467773,23831325859.81366,2,2021,haryana
sonipat,5818055,12924700817.493427,2,2021,haryana
rewari,5377720,9762169802.614033,2,2021,haryana
panipat,4781725,10716524259.182951,2,2021,haryana
palwal,4765916,9533885152.800251,2,2021,haryana
hisar,4588374,11866795026.651604,2,2021,haryana
mewat,4011429,9985192715.597248,2,2021,haryana
rohtak,3586587,8769888644.596022,2,2021,haryana
karnal,3501189,7822099240.647442,2,2021,haryana
gurugram,47680658,55914389975.07391,3,2021,haryana
faridabad,19367342,30608591108.260963,3,2021,haryana
rewari,7225396,12146892237.73043,3,2021,haryana
sonipat,7173052,14357121849.97747,3,2021,haryana
panipat,6120958,12577188571.756681,3,2021,haryana
palwal,5875612,10372287086.183144,3,2021,haryana
hisar,5215891,12437366867.171387,3,2021,haryana
mewat,5054460,11174788500.58817,3,2021,haryana
rohtak,4615616,10168683402.047003,3,2021,haryana
karnal,4403307,8835919266.381252,3,2021,haryana
gurugram,56754843,69593103272.65858,4,2021,haryana
faridabad,23169872,38292223252.23201,4,2021,haryana
sonipat,8588386,18170993284.93904,4,2021,haryana
rewari,8487387,15492946892.608118,4,2021,haryana
panipat,7419868,16276012822.879314,4,2021,haryana
palwal,7384842,13860018394.657875,4,2021,haryana
mewat,6907605,14906046920.126253,4,2021,haryana
hisar,6193863,16081687128.153656,4,2021,haryana
rohtak,5544335,13098837015.96527,4,2021,haryana
karnal,5416815,11527031601.801613,4,2021,haryana
gurugram,63282822,77508209556.89508,1,2022,haryana
faridabad,25918817,42896865210.61576,1,2022,haryana
sonipat,9614092,19484490398.321857,1,2022,haryana
rewari,9346086,16678823765.176477,1,2022,haryana
panipat,9264902,19020193908.564423,1,2022,haryana
mewat,8788025,17806136968.70603,1,2022,haryana
palwal,8401353,15280812571.295765,1,2022,haryana
hisar,7216543,18068574001.484863,1,2022,haryana
rohtak,6268896,14421297234.32816,1,2022,haryana
karnal,6097787,12324299904.907103,1,2022,haryana
gurugram,79880852,92145454120.45724,2,2022,haryana
faridabad,30409719,48406473821.004944,2,2022,haryana
sonipat,11943138,22987659569.928093,2,2022,haryana
rewari,11224593,19046645607.857338,2,2022,haryana
panipat,10820296,21066063900.647213,2,2022,haryana
mewat,10609222,20575618595.50345,2,2022,haryana
palwal,9782307,17323076797.706825,2,2022,haryana
hisar,8798889,20864338832.46772,2,2022,haryana
rohtak,7714114,16685032554.576132,2,2022,haryana
karnal,7462000,14355989091.566263,2,2022,haryana
gurugram,87103856,99360193857.46599,3,2022,haryana
faridabad,31002825,46163415393.391945,3,2022,haryana
sonipat,16738938,29152136081.765583,3,2022,haryana
hisar,15314209,30005386061.118546,3,2022,haryana
panipat,13837300,24633921100.885296,3,2022,haryana
rewari,12015067,19436985212.741524,3,2022,haryana
palwal,11032395,17956834811.920963,3,2022,haryana
mewat,10832560,19134475751.357685,3,2022,haryana
rohtak,9939686,18965127888.071278,3,2022,haryana
karnal,9139842,16912349321.593098,3,2022,haryana
gurugram,92493335,107046551341.7809,4,2022,haryana
faridabad,33161524,49923713557.162994,4,2022,haryana
sonipat,17683407,32605509131.386883,4,2022,haryana
hisar,16862076,34368965296.500374,4,2022,haryana
rohtak,14350357,27248544247.193783,4,2022,haryana
rewari,13324092,22585777499.591312,4,2022,haryana
palwal,13114018,21856737361.77354,4,2022,haryana
panipat,12217738,23682687583.537933,4,2022,haryana
karnal,12214724,23383107604.307755,4,2022,haryana
mewat,11181774,20507941017.884888,4,2022,haryana
solan,118881,146873607.41695297,1,2018,himachal-pradesh
kangra,62061,83269925.3876329,1,2018,himachal-pradesh
shimla,54161,84375526.97610706,1,2018,himachal-pradesh
mandi,44169,50308276.313293405,1,2018,himachal-pradesh
chamba,41138,69091183.95337541,1,2018,himachal-pradesh
una,39070,48375221.958015576,1,2018,himachal-pradesh
sirmaur,37721,43579534.40144637,1,2018,himachal-pradesh
hamirpur,32709,37506250.25236499,1,2018,himachal-pradesh
kullu,23978,36599342.90480824,1,2018,himachal-pradesh
bilaspur,21880,20215586.707121648,1,2018,himachal-pradesh
solan,166516,254576422.9168635,2,2018,himachal-pradesh
kangra,97426,172859755.31581038,2,2018,himachal-pradesh
shimla,82195,162202102.59693143,2,2018,himachal-pradesh
mandi,58415,85994890.15581088,2,2018,himachal-pradesh
chamba,55922,125825520.94711924,2,2018,himachal-pradesh
sirmaur,53040,77059907.62248287,2,2018,himachal-pradesh
una,51637,81025669.3259282,2,2018,himachal-pradesh
hamirpur,41507,63207300.3000073,2,2018,himachal-pradesh
kullu,39948,96624850.44143352,2,2018,himachal-pradesh
bilaspur,30705,41392933.9580691,2,2018,himachal-pradesh
solan,229164,373018057.4322363,3,2018,himachal-pradesh
kangra,123560,243834956.6313929,3,2018,himachal-pradesh
shimla,109765,261701779.39463177,3,2018,himachal-pradesh
sirmaur,78762,124334576.99894318,3,2018,himachal-pradesh
mandi,74604,128941896.30651332,3,2018,himachal-pradesh
una,73766,150521417.27225596,3,2018,himachal-pradesh
hamirpur,58022,90529572.1234664,3,2018,himachal-pradesh
chamba,44858,190977335.4683498,3,2018,himachal-pradesh
kullu,40813,95127772.88091436,3,2018,himachal-pradesh
bilaspur,37993,56133326.966728725,3,2018,himachal-pradesh
solan,347191,577618789.1056865,4,2018,himachal-pradesh
kangra,187764,414603049.9879074,4,2018,himachal-pradesh
shimla,156832,396860638.04644364,4,2018,himachal-pradesh
sirmaur,122707,199344353.77429008,4,2018,himachal-pradesh
una,110312,222928340.6712972,4,2018,himachal-pradesh
mandi,109661,203827486.01186574,4,2018,himachal-pradesh
hamirpur,76300,146948802.40681252,4,2018,himachal-pradesh
kullu,64285,157752014.91735005,4,2018,himachal-pradesh
chamba,63298,160650916.98309675,4,2018,himachal-pradesh
bilaspur,51395,92955686.23996082,4,2018,himachal-pradesh
solan,626201,733453989.2236599,1,2019,himachal-pradesh
shimla,363648,708861957.1918447,1,2019,himachal-pradesh
kangra,266655,478900506.53311074,1,2019,himachal-pradesh
sirmaur,174812,238804557.7773369,1,2019,himachal-pradesh
mandi,167637,287549707.5047521,1,2019,himachal-pradesh
una,151550,232335414.5268033,1,2019,himachal-pradesh
hamirpur,126323,189186708.125866,1,2019,himachal-pradesh
chamba,104811,170503559.1379143,1,2019,himachal-pradesh
kullu,92009,187262819.029819,1,2019,himachal-pradesh
bilaspur,73141,109483745.6606721,1,2019,himachal-pradesh
shimla,807095,1698682743.209046,2,2019,himachal-pradesh
solan,481957,783011937.8847647,2,2019,himachal-pradesh
kangra,295433,591536934.9504749,2,2019,himachal-pradesh
mandi,245467,464902888.77251065,2,2019,himachal-pradesh
hamirpur,150149,270178390.1615547,2,2019,himachal-pradesh
kullu,129068,331174039.37828636,2,2019,himachal-pradesh
sirmaur,127208,220885809.9785687,2,2019,himachal-pradesh
una,105685,189321647.9190805,2,2019,himachal-pradesh
bilaspur,68748,128917341.52795482,2,2019,himachal-pradesh
chamba,62922,128008869.00606377,2,2019,himachal-pradesh
shimla,695970,1981429213.7026682,3,2019,himachal-pradesh
solan,563580,919355818.0941985,3,2019,himachal-pradesh
kangra,373339,645470163.0699661,3,2019,himachal-pradesh
mandi,262386,545822136.934624,3,2019,himachal-pradesh
hamirpur,187716,301844559.3146769,3,2019,himachal-pradesh
sirmaur,154972,258531496.7275585,3,2019,himachal-pradesh
kullu,146216,316994313.58457994,3,2019,himachal-pradesh
una,134630,227364592.3232284,3,2019,himachal-pradesh
bilaspur,88416,142694743.74010605,3,2019,himachal-pradesh
chamba,87489,151224161.28503346,3,2019,himachal-pradesh
shimla,900252,2553513821.2140336,4,2019,himachal-pradesh
solan,693523,1168760137.4633098,4,2019,himachal-pradesh
kangra,492277,877780658.252526,4,2019,himachal-pradesh
mandi,332554,678830304.0119476,4,2019,himachal-pradesh
hamirpur,258323,429776009.8441242,4,2019,himachal-pradesh
kullu,204518,442222672.1025748,4,2019,himachal-pradesh
sirmaur,190673,324766028.26129776,4,2019,himachal-pradesh
una,173510,293924768.3295568,4,2019,himachal-pradesh
bilaspur,114888,204391757.70598233,4,2019,himachal-pradesh
chamba,111755,196209094.0899575,4,2019,himachal-pradesh
shimla,1115491,2725598845.0394974,1,2020,himachal-pradesh
solan,821088,1293083622.0835805,1,2020,himachal-pradesh
kangra,569437,836283217.4197668,1,2020,himachal-pradesh
mandi,357222,582031760.1284182,1,2020,himachal-pradesh
hamirpur,247878,312050564.78676903,1,2020,himachal-pradesh
kullu,245803,451467537.5665263,1,2020,himachal-pradesh
sirmaur,240485,386990850.03422594,1,2020,himachal-pradesh
una,208785,305641992.38407075,1,2020,himachal-pradesh
bilaspur,144278,226926312.01782265,1,2020,himachal-pradesh
chamba,139862,213171894.7803222,1,2020,himachal-pradesh
shimla,1090361,2702081598.463577,2,2020,himachal-pradesh
solan,808170,1165900725.2493396,2,2020,himachal-pradesh
kangra,800587,1148113744.7012944,2,2020,himachal-pradesh
mandi,476844,764632316.5536959,2,2020,himachal-pradesh
hamirpur,283099,412476792.8843811,2,2020,himachal-pradesh
sirmaur,281385,405760136.7626385,2,2020,himachal-pradesh
una,271636,407244006.0493055,2,2020,himachal-pradesh
kullu,211730,311597474.942107,2,2020,himachal-pradesh
chamba,195242,282218981.7534903,2,2020,himachal-pradesh
bilaspur,191375,284432330.03137827,2,2020,himachal-pradesh
shimla,1285819,3273522193.6950035,3,2020,himachal-pradesh
solan,1025251,1684944862.9521143,3,2020,himachal-pradesh
kangra,874419,1454881898.970782,3,2020,himachal-pradesh
mandi,510105,917547335.014626,3,2020,himachal-pradesh
una,351065,649892231.6889067,3,2020,himachal-pradesh
hamirpur,330684,570857451.2158681,3,2020,himachal-pradesh
sirmaur,327646,558556837.731833,3,2020,himachal-pradesh
kullu,256926,493361636.48255086,3,2020,himachal-pradesh
chamba,219469,362005461.96742666,3,2020,himachal-pradesh
bilaspur,202526,342802524.6465795,3,2020,himachal-pradesh
shimla,1481567,3532549313.2620616,4,2020,himachal-pradesh
solan,1429031,2365446849.233446,4,2020,himachal-pradesh
kangra,1184008,2119401487.8765106,4,2020,himachal-pradesh
mandi,671714,1247938155.7973926,4,2020,himachal-pradesh
kullu,468786,964080436.8492869,4,2020,himachal-pradesh
una,449443,882226488.1512837,4,2020,himachal-pradesh
sirmaur,443100,785448896.1147676,4,2020,himachal-pradesh
hamirpur,431123,781165089.0953674,4,2020,himachal-pradesh
chamba,304032,507880011.358919,4,2020,himachal-pradesh
bilaspur,275513,518335916.8663252,4,2020,himachal-pradesh
shimla,1871647,3621617004.9139824,1,2021,himachal-pradesh
solan,1415611,2334165842.866145,1,2021,himachal-pradesh
kangra,1122291,2006571077.1134858,1,2021,himachal-pradesh
mandi,659769,1258330265.8409514,1,2021,himachal-pradesh
kullu,550514,1212317567.8071225,1,2021,himachal-pradesh
una,490374,941158055.3202168,1,2021,himachal-pradesh
sirmaur,451501,789668056.651283,1,2021,himachal-pradesh
hamirpur,416499,720857278.5633022,1,2021,himachal-pradesh
chamba,273886,510880053.0153754,1,2021,himachal-pradesh
bilaspur,256578,504967322.0491565,1,2021,himachal-pradesh
shimla,2474329,4402623043.9412,2,2021,himachal-pradesh
solan,1658067,2575741414.5946493,2,2021,himachal-pradesh
kangra,1399606,2443026330.2982035,2,2021,himachal-pradesh
mandi,832152,1488270045.9430394,2,2021,himachal-pradesh
una,634078,1174326754.6527784,2,2021,himachal-pradesh
sirmaur,567339,922354065.2120936,2,2021,himachal-pradesh
hamirpur,551934,946105069.9392335,2,2021,himachal-pradesh
kullu,510109,966612054.8118159,2,2021,himachal-pradesh
chamba,364270,617691720.4435453,2,2021,himachal-pradesh
bilaspur,322915,613068902.4728887,2,2021,himachal-pradesh
shimla,3421673,6296627879.774387,3,2021,himachal-pradesh
solan,2183306,3233240074.9271526,3,2021,himachal-pradesh
kangra,1671112,2887492721.743307,3,2021,himachal-pradesh
mandi,945135,1753985903.702748,3,2021,himachal-pradesh
una,799861,1417386870.9287395,3,2021,himachal-pradesh
kullu,730794,1573258668.3417544,3,2021,himachal-pradesh
sirmaur,681413,1083275309.4275231,3,2021,himachal-pradesh
hamirpur,626711,1085444382.5637474,3,2021,himachal-pradesh
chamba,426381,769418422.8733866,3,2021,himachal-pradesh
bilaspur,364475,689922524.099928,3,2021,himachal-pradesh
shimla,3957985,7356261501.689669,4,2021,himachal-pradesh
